NAME                  INSTALLED                    FIXED IN         TYPE  VULNERABILITY        SEVERITY    EPSS          RISK   
qs                    6.15.1                       6.15.2           npm   GHSA-q8mj-m7cp-5q26  Medium      0.3% (18th)   0.1    
sanitize-html         1.4.2                        2.0.0-beta       npm   GHSA-qhxp-v273-g94h  Medium      0.3% (16th)   0.1    
libc6                 2.41-12+deb13u2                               deb   CVE-2010-4756        Negligible  2.6% (83rd)   0.1    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-42769       Medium      0.3% (16th)   0.1    
tar                   4.4.19                       7.5.4            npm   GHSA-r6q2-hw4h-h46w  High        0.2% (4th)    0.1    
tar                   6.2.1                        7.5.4            npm   GHSA-r6q2-hw4h-h46w  High        0.2% (4th)    0.1    
libc6                 2.41-12+deb13u2                               deb   CVE-2019-9192        Negligible  2.4% (82nd)   0.1    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-42768       Low         0.4% (26th)   0.1    
libc6                 2.41-12+deb13u2                               deb   CVE-2019-1010025     Negligible  2.3% (80th)   0.1    
zlib1g                1:1.3.dfsg+really1.3.1-1+b1  (won't fix)      deb   CVE-2026-27171       Medium      0.2% (10th)   0.1    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-45446       Medium      0.2% (11th)   0.1    
libc6                 2.41-12+deb13u2              2.41-12+deb13u3  deb   CVE-2026-4438        Medium      0.2% (8th)    < 0.1  
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-42770       Low         0.3% (16th)   < 0.1  
@tootallnate/once     1.1.2                        2.0.1            npm   GHSA-vpq2-c234-7xj6  Low         0.1% (1st)    < 0.1  
marsdb                0.6.11                                        npm   GHSA-5mrr-rgp6-x4gr  Critical    N/A           N/A    
jws                   0.2.6                        3.0.0            npm   GHSA-gjcw-v447-2w7q  High        N/A           N/A    
base64url             0.0.6                        3.0.0            npm   GHSA-rvg8-pwq2-xj7q  Medium      N/A           N/A    
js-yaml               3.14.2                       4.2.0            npm   GHSA-h67p-54hq-rp68  Medium      N/A           N/A    
tar                   4.4.19                       7.5.16           npm   GHSA-vmf3-w455-68vh  Medium      N/A           N/A    
tar                   6.2.1                        7.5.16           npm   GHSA-vmf3-w455-68vh  Medium      N/A           N/A    
tar                   7.5.15                       7.5.16           npm   GHSA-vmf3-w455-68vh  Medium      N/A           N/A
