id,title,severity,active,verified,is_mitigated,display_status,test,scan_type,tool,cwe,vuln_id_from_tool,created,date,sla_expiration_date,line,file_path,url
32,GHSA-8hfj-j24r-96c4 in moment:2.0.0,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-8hfj-j24r-96c4,2026-04-14T11:35:36.951994Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/express-jwt/node_modules/moment/package.json,
33,GHSA-p6mc-m468-83gw in lodash.set:4.3.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-p6mc-m468-83gw,2026-04-14T11:35:37.035470Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/lodash.set/package.json,
34,GHSA-r7qp-cfhv-p84w in engine.io:4.1.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-r7qp-cfhv-p84w,2026-04-14T11:35:37.121869Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/engine.io/package.json,
35,GHSA-jf85-cpcp-j695 in lodash:2.4.2,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-jf85-cpcp-j695,2026-04-14T11:35:37.214574Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/sanitize-html/node_modules/lodash/package.json,
36,GHSA-87vv-r9j6-g5qv in moment:2.0.0,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-87vv-r9j6-g5qv,2026-04-14T11:35:37.305804Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/express-jwt/node_modules/moment/package.json,
37,GHSA-xwcq-pm8m-c4vf in crypto-js:3.3.0,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-xwcq-pm8m-c4vf,2026-04-14T11:35:37.405531Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/crypto-js/package.json,
38,CVE-2025-15467 in libssl3:3.0.17-1~deb12u2,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,CVE-2025-15467,2026-04-14T11:35:37.513032Z,2026-04-14,2026-04-21,,/var/lib/dpkg/status.d/libssl3,
39,GHSA-rm97-x556-q36h in sanitize-html:1.4.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-rm97-x556-q36h,2026-04-14T11:35:37.659330Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/sanitize-html/package.json,
40,GHSA-3h5v-q93c-6h6q in ws:7.4.6,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-3h5v-q93c-6h6q,2026-04-14T11:35:37.736791Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/engine.io/node_modules/ws/package.json,
41,GHSA-pfrx-2q88-qq97 in got:8.3.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-pfrx-2q88-qq97,2026-04-14T11:35:37.812817Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/got/package.json,
42,GHSA-cgfm-xwp7-2cvr in sanitize-html:1.4.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-cgfm-xwp7-2cvr,2026-04-14T11:35:37.900340Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/sanitize-html/package.json,
43,GHSA-p5gc-c584-jj6v in vm2:3.9.17,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-p5gc-c584-jj6v,2026-04-14T11:35:38.007679Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/vm2/package.json,
44,GHSA-f5x3-32g6-xq36 in tar:4.4.19,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-f5x3-32g6-xq36,2026-04-14T11:35:38.080479Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/node-pre-gyp/node_modules/tar/package.json,
45,GHSA-35jh-r3h4-6jhm in lodash:2.4.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-35jh-r3h4-6jhm,2026-04-14T11:35:38.158747Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/sanitize-html/node_modules/lodash/package.json,
46,GHSA-3j7m-hmh3-9jmp in sanitize-html:1.4.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-3j7m-hmh3-9jmp,2026-04-14T11:35:38.234849Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/sanitize-html/package.json,
47,GHSA-446m-mv8f-q348 in moment:2.0.0,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-446m-mv8f-q348,2026-04-14T11:35:38.305678Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/express-jwt/node_modules/moment/package.json,
48,GHSA-8g4m-cjm2-96wq in notevil:1.3.3,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-8g4m-cjm2-96wq,2026-04-14T11:35:38.371616Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/notevil/package.json,
49,GHSA-6rw7-vpxm-498p in qs:6.13.0,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-6rw7-vpxm-498p,2026-04-14T11:35:38.437323Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/qs/package.json,
50,GHSA-6g6m-m6h5-w9gf in express-jwt:0.1.3,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-6g6m-m6h5-w9gf,2026-04-14T11:35:38.504256Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/express-jwt/package.json,
51,GHSA-4xc9-xhrj-v574 in lodash:2.4.2,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-4xc9-xhrj-v574,2026-04-14T11:35:38.570362Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/sanitize-html/node_modules/lodash/package.json,
52,GHSA-mjxr-4v3x-q3m4 in sanitize-html:1.4.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-mjxr-4v3x-q3m4,2026-04-14T11:35:38.630634Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/sanitize-html/package.json,
53,GHSA-rjqq-98f6-6j3r in sanitize-html:1.4.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-rjqq-98f6-6j3r,2026-04-14T11:35:38.697495Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/sanitize-html/package.json,
54,GHSA-rc47-6667-2j5j in http-cache-semantics:3.8.1,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-rc47-6667-2j5j,2026-04-14T11:35:38.753940Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/http-cache-semantics/package.json,
55,GHSA-xc6g-ggrc-qq4r in sanitize-html:1.4.2,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-xc6g-ggrc-qq4r,2026-04-14T11:35:38.811375Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/sanitize-html/package.json,
56,GHSA-cqmj-92xf-r6r9 in socket.io-parser:4.0.5,Medium,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-cqmj-92xf-r6r9,2026-04-14T11:35:38.873308Z,2026-04-14,2026-07-13,,/juice-shop/node_modules/socket.io-parser/package.json,
